"iterations"	"beta0"	"gamma0"	"delta0"	"omega2.beta0"	"omega2.gamma0"	"omega2.delta0"	"algo"
0.85	2	1	2	0.3	0.3	0.3	"35"
1.7	1.62342011073288	-0.123218297927093	1.32192013971879	0.372770056808042	0.459216088106431	0.589096275906773	"35"
2.55	1.15505686018366	-0.402150876020731	0.897879217207844	0.389695057480019	0.256783392177092	0.46137913808114	"35"
3.4	0.73242895606219	-0.387415081968349	0.736046404627942	0.416301719853553	0.161695569544699	0.308590786412837	"35"
4.25	0.303355007668283	-0.360919919972307	0.632271168071027	0.426270603809405	0.107933668659758	0.201687164321073	"35"
5.1	-0.0752931836105058	-0.333538268819968	0.577781538035648	0.437765399468288	0.0803925659610649	0.133463340995661	"35"
5.95	-0.404476336867089	-0.322658307572382	0.546617140925548	0.414495190329897	0.0637261758122502	0.0945955878556685	"35"
6.8	-0.687825860736173	-0.325846035116534	0.54531355009101	0.38389631271743	0.0501614718563201	0.0691648310621076	"35"
7.65	-0.926764883676714	-0.321078849420018	0.546074140093709	0.36903126386671	0.0410920043842822	0.0543315334866513	"35"
8.5	-1.1370307389525	-0.317700559372134	0.549007707195276	0.364401034062864	0.0362974669289701	0.047249288926392	"35"
9.35	-1.33681057262914	-0.319258757093286	0.558780394033608	0.349826213603486	0.0315066907445031	0.038282014746985	"35"
10.2	-1.49601622936115	-0.31914880822843	0.56517115790396	0.328631847936125	0.0282546473793127	0.0344094492510232	"35"
11.05	-1.61795290647938	-0.317874227808013	0.569051052503801	0.312951369982479	0.0254926044682052	0.030847677380836	"35"
11.9	-1.71249523652266	-0.317827859475019	0.573143789256009	0.286230377057793	0.0229082271549162	0.0281591690287064	"35"
12.75	-1.80627419239586	-0.321570433025278	0.580411055818191	0.274314551501387	0.0215057203413183	0.0251499030501335	"35"
13.6	-1.87550002191337	-0.318396509094497	0.581681271914109	0.267319893963107	0.0207711653634979	0.0242140858675833	"35"
14.45	-1.94976454278529	-0.3190398526335	0.588691669541139	0.263970589980535	0.019962721903249	0.023304378417064	"35"
